ts_utc,close_time,label,tf,event,direction,price,box_top,box_bottom,box_id,confluence
2026-07-16T08:13:34+00:00,1784188799999,BTC,4h,short_created,short,64238.0,64845.5,64392.01,S1784174399999,
2026-07-16T08:13:35+00:00,1784188799999,ETH,1h,long_created,long,1910.63,1927.63,1917.12,L1784181599999,
2026-07-16T08:13:36+00:00,1784188799999,XRP,1h,long_created,long,1.1062,1.118,1.1134,L1784181599999,
2026-07-16T08:13:37+00:00,1784188799999,ADA,1h,long_created,long,0.163,0.1664,0.1649,L1784170799999,
2026-07-16T08:13:38+00:00,1784188800000,Gold,8h,long_entry,long,4033.63,4036.05,3986.5,L1784016000000,
2026-07-16T08:13:40+00:00,1784185200000,Nvidia,1h,long_entry,long,210.76,210.92,209.78,L1784142000000,
2026-07-16T08:13:41+00:00,1784185200000,Google,1h,short_created,short,372.32,372.04,371.02,S1784167200000,
2026-07-16T08:13:42+00:00,1784185200000,Monero,1h,short_created,short,334.59,331.77,330.77,S1784181600000,
2026-07-16T08:13:43+00:00,1784188800000,Monero,4h,short_created,short,334.59,332.99,324.67,S1784160000000,
2026-07-16T10:50:29+00:00,1784192400000,Silber,1h,long_created,long,56.99,57.51,56.91,L1784185200000,
2026-07-16T10:50:30+00:00,1784192400000,SpaceX,1h,long_created,long,135.71,136.55,136.13,L1784185200000,
2026-07-16T12:11:49+00:00,1784203199999,BNB,1h,long_created,long,578.09,578.25,577.2,L1784199599999,
2026-07-16T12:11:49+00:00,1784199600000,Apple,1h,short_created,short,328.49,329.13,328.06,S1784196000000,
2026-07-16T14:20:24+00:00,1784210399999,NEAR,1h,long_created,long,2.073,2.033,2.009,L1784199599999,
2026-07-16T14:20:24+00:00,1784210399999,NEAR,1h,long_entry,long,2.073,2.033,2.009,L1784199599999,
2026-07-16T14:20:26+00:00,1784206800000,Amazon,1h,short_created,short,254.41,257.72,256.3,S1784203200000,
2026-07-16T14:20:27+00:00,1784206800000,Amazon,1h,short_entry,short,254.41,257.72,256.3,S1784203200000,
2026-07-16T14:20:28+00:00,1784206799999,XLM,1h,short_created,short,0.1914,0.1895,0.1865,S1784188799999,
2026-07-16T14:20:28+00:00,1784210400000,Microsoft,1h,short_created,short,393.98,401.54,399.16,S1784206800000,
2026-07-16T14:20:29+00:00,1784210400000,SpaceX,1h,short_created,short,136.23,135.21,133.68,S1784206800000,
2026-07-16T14:20:30+00:00,1784206800000,Rohoel,1h,short_created,short,79.62,79.15,78.8,S1784192400000,
2026-07-16T15:50:44+00:00,1784213999999,BTC,1h,long_created,long,64543.51,64480.0,63961.14,L1784210399999,
2026-07-16T15:50:44+00:00,1784213999999,BTC,1h,long_entry,long,64543.51,64480.0,63961.14,L1784210399999,
2026-07-16T16:56:35+00:00,1784217600000,Gold,8h,long_created,long,4012.29,4086.44,4029.39,L1784160000000,
2026-07-16T17:59:45+00:00,1784221200000,Rohoel,1h,long_created,long,78.48,80.16,79.18,L1784206800000,
2026-07-16T19:12:58+00:00,1784224799999,BNB,1h,long_created,long,576.07,581.21,578.0,L1784213999999,
2026-07-16T19:12:59+00:00,1784228399999,SOL,1h,long_created,long,75.74,76.86,76.0,L1784217599999,
2026-07-16T20:11:33+00:00,1784232000000,Gold,1h,long_created,long,3984.15,4022.34,3994.23,L1784217600000,
2026-07-16T20:11:33+00:00,1784231999999,XLM,4h,short_created,short,0.1899,0.1902,0.1865,S1784188799999,
2026-07-16T23:11:39+00:00,1784242799999,DOGE,1h,long_created,long,0.07273,0.07328,0.07293,L1784239199999,
2026-07-16T23:11:40+00:00,1784242800000,Google,1h,long_created,long,357.69,357.17,355.95,L1784239200000,
2026-07-16T23:11:41+00:00,1784242800000,Google,1h,long_entry,long,357.69,357.17,355.95,L1784239200000,
2026-07-17T00:11:31+00:00,1784246399999,BTC,1d,short_created,short,63830.2,65600.0,64485.0,S1784159999999,
2026-07-17T00:11:32+00:00,1784246399999,BTC,1d,short_entry,short,63830.2,65600.0,64485.0,S1784159999999,
2026-07-17T00:11:34+00:00,1784246399999,ETH,1h,long_created,long,1864.71,1881.36,1871.77,L1784239199999,
2026-07-17T00:11:35+00:00,1784246399999,ADA,8h,long_entry,long,0.1609,0.1604,0.156,L1784015999999,
2026-07-17T00:11:36+00:00,1784246399999,AVAX,1h,long_created,long,6.514,6.622,6.591,L1784239199999,
2026-07-17T00:11:37+00:00,1784246400000,Monero,1h,short_created,short,334.96,337.45,335.93,S1784242800000,
2026-07-17T00:11:37+00:00,1784246400000,Monero,1h,short_entry,short,334.96,337.45,335.93,S1784242800000,
2026-07-17T00:11:38+00:00,1784246400000,Monero,1d,short_created,short,334.96,334.84,324.5,S1784160000000,
2026-07-17T03:34:13+00:00,1784249999999,BTC,1h,long_created,long,63482.0,64253.25,64101.18,L1784239199999,
2026-07-17T03:34:14+00:00,1784249999999,ADA,1h,long_created,long,0.1598,0.1636,0.1625,L1784239199999,
